(-150.0, 0)
(-139.6552, 0)
(-129.31040000000002, 0)
(-118.9656, 0)
(-108.6208, 0)
(-98.27600000000001, 0)
(-87.9312, 0)
(-77.5864, 0)
(-67.2416, 0)
(-56.89680000000001, 0)
(-46.55200000000001, 0)
(-36.2072, 0)
(-25.862400000000008, 0)
(-15.517600000000016, 0)
(-5.172799999999995, 0)
(5.171999999999997, 0)
(15.51679999999999, 0)
(25.86159999999998, 0)
(36.206399999999974, 0)
(46.551199999999994, 0)
(56.89599999999999, 0)
(67.24079999999998, 0)
(77.5856, 0)
(87.93039999999999, 0)
(98.27519999999998, 0)
(108.62, 0)
(118.96479999999997, 0)
(129.3096, 0)
(139.6544, 0)
(150.0, 0)
