(-86.60254037844388, 49.99999999999999)
(-80.82900881903416, 46.66664999999999)
(-75.05547725962444, 43.333299999999994)
(-69.28194570021472, 39.99995)
(-63.50841414080501, 36.666599999999995)
(-57.73488258139529, 33.33324999999999)
(-51.96135102198558, 29.999899999999997)
(-46.18781946257586, 26.666549999999997)
(-40.41428790316614, 23.333199999999998)
(-34.64075634375642, 19.99985)
(-28.867224784346703, 16.6665)
(-23.09369322493699, 13.333149999999996)
(-17.32016166552728, 9.9998)
(-11.546630106117561, 6.666450000000005)
(-5.773098546707843, 3.3331000000000017)
(0.0004330127018761232, -0.0002500000000011937)
(5.773964572111595, -3.333599999999997)
(11.547496131521314, -6.666949999999993)
(17.321027690931032, -10.000299999999996)
(23.09455925034075, -13.333649999999999)
(28.86809080975047, -16.666999999999994)
(34.641622369160174, -20.00034999999999)
(40.41515392856989, -23.3337)
(46.188685487979626, -26.667049999999996)
(51.962217047389316, -30.000399999999992)
(57.735748606799035, -33.33374999999999)
(63.509280166208754, -36.667099999999984)
(69.28281172561847, -40.000449999999994)
(75.05634328502819, -43.33379999999999)
(80.82987484443791, -46.667149999999985)
(86.60254037844388, -49.99999999999999)
